RK,School,Conference,Revenue,Expenses
214,Western Illinois,Summit,"$10,591,600 ","$11,954,285 "
215,Nicholls State,Southland,"$9,562,988 ","$9,674,950 "
216,North Carolina Asheville,Big South,"$9,310,037 ","$9,169,576 "
217,Southern Illinois Edwardsville,Ohio Valley,"$9,228,445 ","$9,422,145 "
218,South Carolina Upstate,Big South,"$8,776,354 ","$8,861,127 "
219,Grambling State,SWAC,"$8,748,551 ","$9,869,917 "
220,Arkansas-Pine Bluff,SWAC,"$8,366,411 ","$8,465,811 "
221,Alcorn State,SWAC,"$6,968,254 ","$6,165,344 "
222,Chicago State,WAC,"$5,925,138 ","$6,553,934 "
223,New Orleans,Southland,"$5,775,389 ","$5,775,389 "
224,Maryland-Eastern Shore,MEAC,"$5,305,668 ","$5,305,668 "
225,Mississippi Valley State,SWAC,"$4,107,811 ","$4,107,811 "
226,Savannah State,MEAC,"$4,030,759 ","$5,068,318 "
227,Coppin State,MEAC,"$3,225,541 ","$4,603,198 "
