x,school,conf,sport,state,gsr,fgr,School
2012,Columbia-Barnard College,The Ivy League,Football,NY,98,,Iowa State
2012,University of Connecticut,American Athletic Conference,Football,CT,81,74,Kansas
2012,Cornell,The Ivy League,Football,NY,96,,Kansas State
2012,Dartmouth College,The Ivy League,Football,NH,100,,Kent State
2012,Davidson College,Pioneer Football League,Football,NC,92,,Kentucky
2012,University of Dayton,Pioneer Football League,Football,OH,96,100,Liberty
2012,Delaware State,Mid-Eastern Athletic Conf.,Football,DE,74,60,Louisiana Tech
2012,University of Delaware,Colonial Athletic Association,Football,DE,78,72,Louisiana-Lafayette
2012,Drake,Pioneer Football League,Football,IA,89,100,Louisiana-Monroe
2012,Duke,Atlantic Coast Conference,Football,NC,96,90,Louisville
2012,Duquesne,Northeast Conference,Football,PA,80,72,LSU
2012,East Carolina,American Athletic Conference,Football,NC,76,73,Marshall
2012,Eastern Illinois,Ohio Valley Conference,Football,IL,69,58,Maryland
2012,Eastern Kentucky,Ohio Valley Conference,Football,KY,79,61,Massachusetts
2012,Eastern Michigan,Mid-American Conference,Football,MI,69,52,Memphis
2012,Eastern Washington,Big Sky Conference,Football,WA,74,62,Miami (Fla.)
2012,Florida A&M,Mid-Eastern Athletic Conf.,Football,FL,56,47,Miami (Ohio)
2012,Florida Atlantic,Conference USA,Football,FL,70,61,Michigan
2012,Florida International,Conference USA,Football,FL,69,58,Michigan State
2012,Florida State,Atlantic Coast Conference,Football,FL,60,43,Middle Tennessee
2012,University of Florida,Southeastern Conference,Football,FL,79,36,Minnesota
2012,Fordham,Patriot League,Football,NY,84,74,Mississippi
2012,Furman,Southern Conference,Football,SC,82,76,Mississippi State
2012,Georgetown,Patriot League,Football,DC,97,88,Missouri
2012,Georgia Southern,Sun Belt Conference,Football,GA,67,56,Navy
2012,Georgia State,Sun Belt Conference,Football,GA,74,66,Nebraska
2012,Georgia Institute of Technology,Atlantic Coast Conference,Football,GA,87,75,Nevada
2012,University of Georgia,Southeastern Conference,Football,GA,64,44,Nevada-Las Vegas
2012,Grambling State,Southwestern Athletic Conf.,Football,LA,64,53,New Mexico
2012,Hampton,Independent,Football,VA,72,57,New Mexico State
2012,Harvard,The Ivy League,Football,MA,99,,North Carolina
2012,"University of Hawaii, Manoa",Mountain West Conference,Football,HI,77,63,North Carolina State
2012,College of the Holy Cross,Patriot League,Football,MA,97,84,North Texas
2012,Houston Baptist,Southland Conference,Football,TX,100,,Northern Illinois
2012,University of Houston,American Athletic Conference,Football,TX,69,58,Northwestern
2012,Howard,Mid-Eastern Athletic Conf.,Football,DC,71,67,Notre Dame
2012,Idaho State,Big Sky Conference,Football,ID,80,54,Ohio
2012,University of Idaho,Big Sky Conference,Football,ID,55,35,Ohio State
2012,Illinois State,Missouri Valley Football Conference,Football,IL,80,61,Oklahoma
2012,University of Illinois Urbana-Champaign,Big Ten Conference,Football,IL,87,73,Oklahoma State
2012,Indiana State,Missouri Valley Football Conference,Football,IN,72,53,Old Dominion
2012,"Indiana, Bloomington",Big Ten Conference,Football,IN,87,70,Oregon
2012,Iowa State,Big 12 Conference,Football,IA,87,66,Oregon State
2012,University of Iowa,Big Ten Conference,Football,IA,85,70,Penn State
2012,Jackson State,Southwestern Athletic Conf.,Football,MS,75,52,Pittsburgh
2012,Jacksonville State,Ohio Valley Conference,Football,AL,67,56,Purdue
2012,Jacksonville,Pioneer Football League,Football,FL,76,,Rice
2012,James Madison,Colonial Athletic Association,Football,VA,77,66,Rutgers
2012,Kansas State,Big 12 Conference,Football,KS,85,69,San Diego State
2012,University of Kansas,Big 12 Conference,Football,KS,79,58,San Jose State
2012,Kent State,Mid-American Conference,Football,OH,73,52,South Alabama
2012,University of Kentucky,Southeastern Conference,Football,KY,77,51,South Carolina
2012,Lafayette College,Patriot League,Football,PA,97,76,South Florida
2012,Lamar,Southland Conference,Football,TX,67,61,Southern California
2012,Lehigh,Patriot League,Football,PA,78,73,Southern Methodist
2012,Liberty,Independent,Football,VA,67,65,Southern Mississippi
2012,Louisiana State,Southeastern Conference,Football,LA,71,31,Stanford
2012,Louisiana Tech,Conference USA,Football,LA,62,51,Syracuse
2012,University of Louisville,Atlantic Coast Conference,Football,KY,91,84,Tennessee
2012,University of Maine,Colonial Athletic Association,Football,ME,79,69,Texas
2012,Marist College,Pioneer Football League,Football,NY,80,100,Texas A&M
2012,Marshall,Conference USA,Football,WV,80,57,Texas Christian
2012,"University of Maryland, College Park",Big Ten Conference,Football,MD,84,67,Texas State
2012,"University of Massachusetts, Amherst",Independent,Football,MA,68,51,Texas Tech
2012,McNeese State,Southland Conference,Football,LA,75,75,Texas-El Paso
2012,University of Memphis,American Athletic Conference,Football,TN,82,53,Texas-San Antonio
2012,Mercer,Southern Conference,Football,GA,67,,Toledo
2012,Miami (Ohio),Mid-American Conference,Football,OH,89,77,Troy
2012,University of Miami (Florida),Atlantic Coast Conference,Football,FL,81,50,Tulane
2012,Michigan State,Big Ten Conference,Football,MI,90,78,Tulsa
2012,University of Michigan,Big Ten Conference,Football,MI,91,72,UCLA
2012,Middle Tennessee State,Conference USA,Football,TN,95,76,Utah
2012,"University of Minnesota, Twin Cities",Big Ten Conference,Football,MN,91,76,Utah State
2012,Mississippi State,Southeastern Conference,Football,MS,78,69,Vanderbilt
2012,Mississippi Valley State,Southwestern Athletic Conf.,Football,MS,88,44,Virginia
2012,University of Mississippi,Southeastern Conference,Football,MS,69,52,Virginia Tech
2012,"University of Missouri, Columbia",Southeastern Conference,Football,MO,83,68,Wake Forest
2012,Monmouth,Big South Conference,Football,NJ,78,67,Washington
2012,Montana State-Bozeman,Big Sky Conference,Football,MT,76,62,Washington State
2012,University of Montana,Big Sky Conference,Football,MT,70,57,West Virginia
2012,Morehead State,Pioneer Football League,Football,KY,64,,Western Kentucky
2012,Morgan State,Mid-Eastern Athletic Conf.,Football,MD,59,55,Western Michigan
2012,Murray State,Ohio Valley Conference,Football,KY,86,56,Wisconsin
2012,"University of North Carolina, Chapel Hill",Atlantic Coast Conference,Football,NC,70,59,Wyoming
2012,Charlotte,Conference USA,Football,NC,80,,
2012,"University of Nebraska, Lincoln",Big Ten Conference,Football,NE,89,69,
2012,"University of Nevada, Las Vegas",Mountain West Conference,Football,NV,63,60,
2012,"University of Nevada, Reno",Mountain West Conference,Football,NV,73,45,
2012,University of New Hampshire,Colonial Athletic Association,Football,NH,98,85,
2012,New Mexico State,Independent,Football,NM,74,52,
2012,University of New Mexico,Mountain West Conference,Football,NM,62,38,
2012,Nicholls State,Southland Conference,Football,LA,73,62,
2012,Norfolk State,Mid-Eastern Athletic Conf.,Football,VA,67,58,
2012,University of North Alabama,Independent,Football,AL,41,30,
2012,North Carolina A&T State,Mid-Eastern Athletic Conf.,Football,NC,59,52,
2012,North Carolina Central,Mid-Eastern Athletic Conf.,Football,NC,68,45,
2012,North Carolina State,Atlantic Coast Conference,Football,NC,71,54,
2012,North Dakota State,Missouri Valley Football Conference,Football,ND,70,55,
2012,University of North Dakota,Independent,Football,ND,63,52,
2012,University of North Texas,Conference USA,Football,TX,83,61,
2012,University of Louisiana Monroe,Sun Belt Conference,Football,LA,76,64,
2012,Northern Arizona,Big Sky Conference,Football,AZ,82,60,
2012,University of Northern Colorado,Big Sky Conference,Football,CO,82,61,
2012,Northern Illinois,Mid-American Conference,Football,IL,88,67,
2012,University of Northern Iowa,Missouri Valley Football Conference,Football,IA,74,54,
2012,Northwestern State,Southland Conference,Football,LA,76,61,
2012,Northwestern,Big Ten Conference,Football,IL,100,93,
2012,University of Notre Dame,Independent,Football,IN,92,84,
2012,The Ohio State,Big Ten Conference,Football,OH,63,45,
2012,Ohio,Mid-American Conference,Football,OH,86,69,
2012,Oklahoma State,Big 12 Conference,Football,OK,54,42,
2012,University of Oklahoma,Big 12 Conference,Football,OK,73,53,
2012,Old Dominion,Conference USA,Football,VA,63,48,
2012,Oregon State,Pac-12 Conference,Football,OR,70,58,
2012,University of Oregon,Pac-12 Conference,Football,OR,77,62,
2012,Pennsylvania State,Big Ten Conference,Football,PA,86,70,
2012,University of Pennsylvania,The Ivy League,Football,PA,94,90,
2012,University of Pittsburgh,Atlantic Coast Conference,Football,PA,78,47,
2012,Portland State,Big Sky Conference,Football,OR,71,63,
2012,Prairie View A&M,Southwestern Athletic Conf.,Football,TX,60,52,
2012,Princeton,The Ivy League,Football,NJ,97,100,
2012,Purdue,Big Ten Conference,Football,IN,80,64,
2012,University of Rhode Island,Colonial Athletic Association,Football,RI,73,53,
2012,Rice,Conference USA,Football,TX,87,80,
2012,University of Richmond,Colonial Athletic Association,Football,VA,84,78,
2012,Robert Morris,Northeast Conference,Football,PA,67,43,
2012,"Rutgers, The State of New Jersey, New Brunswick",Big Ten Conference,Football,NJ,76,55,
2012,Sacred Heart,Northeast Conference,Football,CT,77,59,
2012,Saint Francis (Pennsylvania),Northeast Conference,Football,PA,74,55,
2012,Sam Houston State,Southland Conference,Football,TX,59,52,
2012,Samford,Southern Conference,Football,AL,95,83,
2012,San Diego State,Mountain West Conference,Football,CA,78,74,
2012,University of San Diego,Pioneer Football League,Football,CA,87,,
2012,San Jose State,Mountain West Conference,Football,CA,78,71,
2012,University of South Alabama,Sun Belt Conference,Football,AL,71,60,
2012,South Carolina State,Mid-Eastern Athletic Conf.,Football,SC,72,68,
2012,"University of South Carolina, Columbia",Southeastern Conference,Football,SC,92,64,
2012,South Dakota State,Missouri Valley Football Conference,Football,SD,75,64,
2012,University of South Dakota,Missouri Valley Football Conference,Football,SD,77,53,
2012,University of South Florida,American Athletic Conference,Football,FL,77,65,
2012,Southeast Missouri State,Ohio Valley Conference,Football,MO,69,63,
2012,Southeastern Louisiana,Southland Conference,Football,LA,72,57,
2012,University of Southern California,Pac-12 Conference,Football,CA,82,62,
2012,Southern Illinois at Carbondale,Missouri Valley Football Conference,Football,IL,80,61,
2012,Southern Methodist,American Athletic Conference,Football,TX,72,63,
2012,The of Southern Mississippi,Conference USA,Football,MS,72,58,
2012,"Southern, Baton Rouge",Southwestern Athletic Conf.,Football,LA,50,42,
2012,Southern Utah,Big Sky Conference,Football,UT,69,60,
2012,Missouri State,Missouri Valley Football Conference,Football,MO,65,56,
2012,Texas State,Sun Belt Conference,Football,TX,71,62,
2012,University of Louisiana at Lafayette,Sun Belt Conference,Football,LA,74,60,
2012,Stanford,Pac-12 Conference,Football,CA,91,88,
2012,Stephen F. Austin State,Southland Conference,Football,TX,54,38,
2012,Stony Brook,Colonial Athletic Association,Football,NY,84,64,
2012,Syracuse,Atlantic Coast Conference,Football,NY,85,74,
2012,Temple,American Athletic Conference,Football,PA,88,72,
2012,Tennessee State,Ohio Valley Conference,Football,TN,49,36,
2012,Tennessee Technological,Ohio Valley Conference,Football,TN,85,74,
2012,University of Tennessee at Chattanooga,Southern Conference,Football,TN,80,63,
2012,"University of Tennessee, Knoxville",Southeastern Conference,Football,TN,74,55,
2012,University of Tennessee at Martin,Ohio Valley Conference,Football,TN,65,50,
2012,"Texas A&M, College Station",Southeastern Conference,Football,TX,73,61,
2012,Texas Christian,Big 12 Conference,Football,TX,67,52,
2012,Texas Southern,Southwestern Athletic Conf.,Football,TX,77,47,
2012,Texas Tech,Big 12 Conference,Football,TX,74,61,
2012,University of Texas at Austin,Big 12 Conference,Football,TX,76,62,
2012,University of Texas at El Paso,Conference USA,Football,TX,85,67,
2012,University of Texas at San Antonio,Conference USA,Football,TX,81,59,
2012,University of Toledo,Mid-American Conference,Football,OH,83,70,
2012,Towson,Colonial Athletic Association,Football,MD,78,56,
2012,Troy,Sun Belt Conference,Football,AL,74,55,
2012,Tulane,American Athletic Conference,Football,LA,89,73,
2012,The of Tulsa,American Athletic Conference,Football,OK,78,72,
2012,Air Force,Mountain West Conference,Football,CO,80,,
2012,U.S. Military Academy,Independent,Football,NY,87,,
2012,U.S. Naval Academy,American Athletic Conference,Football,MD,83,,
2012,Utah State,Mountain West Conference,Football,UT,92,69,
2012,University of Utah,Pac-12 Conference,Football,UT,93,66,
2012,Valparaiso,Pioneer Football League,Football,IN,69,,
2012,Vanderbilt,Southeastern Conference,Football,TN,95,81,
2012,Villanova,Colonial Athletic Association,Football,PA,92,92,
2012,Virginia Military Institute,Southern Conference,Football,VA,82,69,
2012,Virginia Polytechnic Institute and State,Atlantic Coast Conference,Football,VA,87,72,
2012,University of Virginia,Atlantic Coast Conference,Football,VA,86,73,
2012,Wagner College,Northeast Conference,Football,NY,75,64,
2012,Wake Forest,Atlantic Coast Conference,Football,NC,86,73,
2012,Washington State,Pac-12 Conference,Football,WA,80,55,
2012,University of Washington,Pac-12 Conference,Football,WA,90,66,
2012,Weber State,Big Sky Conference,Football,UT,70,52,
2012,West Virginia,Big 12 Conference,Football,WV,66,58,
2012,Western Carolina,Southern Conference,Football,NC,81,61,
2012,Western Illinois,Missouri Valley Football Conference,Football,IL,78,52,
2012,Western Kentucky,Conference USA,Football,KY,71,52,
2012,Western Michigan,Mid-American Conference,Football,MI,80,47,
2012,William & Mary,Colonial Athletic Association,Football,VA,87,82,
2012,University of Wisconsin-Madison,Big Ten Conference,Football,WI,90,77,
2012,University of Wyoming,Mountain West Conference,Football,WY,85,51,
2012,Yale,The Ivy League,Football,CT,100,,
2012,Youngstown State,Missouri Valley Football Conference,Football,OH,65,52,
2012,University of Central Arkansas,Southland Conference,Football,AR,69,49,
2012,Elon,Colonial Athletic Association,Football,NC,96,76,
2012,Gardner-Webb,Big South Conference,Football,NC,67,51,
2012,Kennesaw State,Big South Conference,Football,GA,100,,
2012,Presbyterian College,Big South Conference,Football,SC,72,56,
2012,"University of Arkansas, Pine Bluff",Southwestern Athletic Conf.,Football,AR,66,51,
2012,University of the Incarnate Word,Southland Conference,Football,TX,86,56,
2012,Wofford College,Southern Conference,Football,SC,92,79,
